player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Alexis Mac Allister,MF,Argentina,23-359,Brighton,1998,6,6,550,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.7,0.7,1,1.7,0.12,0.18,0.3,0.12,0.3
Alexis Vega,FW,Mexico,25-023,Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.39,0.06,0.44,0.39,0.44
Ali Abdi,DF,Tunisia,28-363,Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Ali Al Hassan,MF,Saudi Arabia,25-289,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0,0.15,0.15,0.15
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-283,Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0,0.45,0.45,0,0.45,0,0,0.2,0.2,0.01,0.07,0.09,0.01,0.09
Ali Karimi,MF,IR Iran,28-310,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Maaloul,DF,Tunisia,32-351,Al Ahly SC,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-197,Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-129,Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0,0.29,0.29,0.29
Alisson,GK,Brazil,30-077,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistair Johnston,DF,Canada,24-071,CF Montréal,1998,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.2,1,0.27,0.06,0.33,0.27,0.33
Almoez Ali,FW,Qatar,26-121,Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.15,0,0.15,0.15,0.15
Alphonso Davies,MF,Canada,22-046,Bayern Munich,2000,3,3,270,3,1,0,1,0,1,1,0,0.33,0,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27
Amadou Onana,MF,Belgium,21-124,Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4
Anass Zaroury,FW,Morocco,22-041,Burnley,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Andreas Christensen,DF,Denmark,26-252,Barcelona,1996,3,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.12,0,0.12,0.12,0.12
Andreas Cornelius,FW,Denmark,29-277,FC Copenhagen,1993,3,1,92,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.1,1.1,1,0.09,1.09,1,1.09
Andreas Skov Olsen,FW,Denmark,22-354,Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.16,0,0.16,0.16,0.16
Andrej Kramarić,FW,Croatia,31-182,Hoffenheim,1991,7,7,474,5.3,2,0,2,0,0,0,0,0.38,0,0.38,0.38,0.38,1.6,1.6,0.2,1.9,0.31,0.04,0.36,0.31,0.36
Andries Noppert,GK,Netherlands,28-255,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrija Zivkovic,DF,Serbia,26-160,PAOK,1996,3,3,210,2.3,0,2,0,0,0,0,0,0,0.86,0.86,0,0.86,0.1,0.1,1.1,1.2,0.03,0.48,0.5,0.03,0.5
Andr� Ayew,MF,Ghana,33-001,Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0,0.45,0.45,0.45,1.1,0.4,0,0.4,0.52,0,0.52,0.16,0.16
Andr� Onana,GK,Cameroon,26-260,Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andr� Silva,FW,Portugal,27-042,RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21
Andr� Guardado,MF,Mexico,36-081,Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,21-277,Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12
Ansu Fati,FW,Spain,20-048,Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Budimir,FW,Croatia,31-149,Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.37,0.07,0.44,0.37,0.44
Anthony Contreras,FW,Costa Rica,22-323,Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Antoine Griezmann,MF,France,31-272,Atlético Madrid,1991,7,6,537,6,0,3,0,0,0,1,0,0,0.5,0.5,0,0.5,0.7,0.7,3.1,3.7,0.11,0.52,0.63,0.11,0.63
Antoine Semenyo,FW,Ghana,22-345,Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0.22,0.22
Antonee Robinson,DF,United States,25-132,Fulham,1997,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.07,0.07,0,0.07
Antonio R�diger,DF,Germany,29-290,Real Madrid,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.25,0,0.25,0.25,0.25
Antony,FW,Brazil,22-297,Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22
Antonio Silva,DF,Portugal,19-049,Benfica,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ao Tanaka,MF,Japan,24-099,Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53,0.53,1,1,0.1,1,0.55,0.05,0.6,0.55,0.6
Ardon Jasari,FW,Switzerland,20-141,Luzern,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-293,Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31
Artur Jedrzejczyk,DF,Poland,35-044,Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asiri Haitham,FW,Saudi Arabia,21-268,Al-Ahli,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assim Madibo,MF,Qatar,26-057,Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Atiba Hutchinson,MF,Canada,39-313,Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Aur�lien Tchouam�ni,MF,France,22-325,Real Madrid,2000,7,7,621,6.9,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,0.3,0.3,1,1.4,0.05,0.16,0.21,0.05,0.21
Awer Mabil,MF,Australia,27-094,Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Disasi,DF,France,24-282,Monaco,1998,3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Axel Witsel,MF,Belgium,33-340,Atlético Madrid,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02
Ayase Ueda,FW,Japan,24-099,Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Aymeric Laporte,DF,Spain,28-205,Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Aziz Behich,DF,Australia,32-002,Dundee United,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Azzedine Ounahi,MF,Morocco,22-243,Angers,2000,7,6,568,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13
A�ssa La�douni,MF,Tunisia,26-005,Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0,0.37,0.37,0,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21
Baba Rahman,DF,Ghana,28-169,Reading,1994,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.15,0.15,0,0.15
Badr Banoun,DF,Morocco,29-079,Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-143,Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamba Dieng,FW,Senegal,22-270,Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0,0.9,0,0.9,0.9,0.9,0.5,0.5,0.1,0.6,0.45,0.05,0.5,0.45,0.5
Bartosz BereszyA ski,DF,Poland,30-159,Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bassam Al-Rawi,DF,Qatar,25-002,Al Duhail SC,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Ben Davies,DF,Wales,29-238,Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13
Benjamin Pavard,DF,France,26-265,Bayern Munich,1996,1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo Silva,MF,Portugal,28-130,Manchester City,1994,5,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14
Bilal El Khannous,MF,Morocco,18-222,Genk,2004,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borna Barišić,DF,Croatia,30-038,Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.12,0.14,0.02,0.14
Borna Sosa,DF,Croatia,24-331,Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09
Boualem Khoukhi,DF,Qatar,32-162,Al Sadd SC,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulaye Dia,FW,Senegal,26-032,Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0,0.28,0,0.28,0.28,0.28,0.7,0.7,0,0.8,0.21,0.01,0.22,0.21,0.22
Brandon Aguilera,MF,Costa Rica,19-173,Asociación Deportiva Guanacasteca,2003,3,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breel Embolo,FW,Switzerland,25-307,Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0,0.56,0,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66
Brenden Aaronson,MF,United States,22-057,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24
Brennan Johnson,FW,Wales,21-209,Nott'ham Forest,2001,3,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21
Bruno Fernandes,FW,Portugal,28-101,Manchester Utd,1994,4,4,356,4,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2,0.28,0.42,0.71,0.08,0.51
Bruno Guimarães,MF,Brazil,25-032,Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0,0.7,0.92,0,0.92,0.92,0.92
Bruno Petković,FW,Croatia,28-093,Dinamo Zagreb,1994,6,1,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.1,0.1,0.3,0.5,0.05,0.15,0.2,0.05,0.2
Bryan Mbeumo,FW,Cameroon,23-133,Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19
Bryan Oviedo,DF,Costa Rica,32-303,Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,37-122,Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,FW,England,21-104,Arsenal,2001,4,4,288,3.2,3,0,3,0,0,0,0,0.94,0,0.94,0.94,0.94,0.6,0.6,0.7,1.3,0.2,0.2,0.4,0.2,0.4
Callum Wilson,FW,England,30-294,Newcastle Utd,1992,2,0,48,0.5,0,1,0,0,0,0,0,0,1.87,1.87,0,1.87,0,0,0.9,0.9,0,1.7,1.7,0,1.7
Cameron Carter-Vickers,DF,United States,24-352,Celtic,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,27-243,Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martínez,DF,Costa Rica,23-263,AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Soler,MF,Spain,25-350,Paris S-G,1997,2,0,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04
Casemiro,MF,Brazil,30-298,Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.1,0.04,0.14,0.1,0.14
Celso Borges,MF,Costa Rica,34-205,Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Charles De Ketelaere,FW,Belgium,21-283,Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-349,Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-362,Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
Cho Guesung,FW,Korea Republic,24-327,Jeonbuk,1998,4,3,275,3.1,2,0,2,0,0,1,0,0.65,0,0.65,0.65,0.65,1.1,1.1,0,1.1,0.35,0.01,0.36,0.35,0.36
Cho Yumin,FW,Korea Republic,26-031,Daejeon Citizen FC,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-043,Bournemouth,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.07,0.07,0,0.07
Christian Bassogog,MF,Cameroon,27-061,Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-307,Manchester Utd,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2
Christian Fassnacht,FW,Switzerland,29-037,Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2.58,0,2.58,2.58,2.58
Christian Nørgaard,MF,Denmark,28-283,Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-091,Chelsea,1998,4,4,315,3.5,1,2,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,1.1,1.1,0.9,2,0.3,0.26,0.56,0.3,0.56
Christopher Wooh,DF,Cameroon,21-091,Rennes,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Cody Gakpo,FW,Netherlands,23-225,PSV Eindhoven,1999,5,5,450,5,3,0,3,0,0,0,0,0.6,0,0.6,0.6,0.6,0.3,0.3,0.6,0.9,0.06,0.12,0.18,0.06,0.18
Collins Fai,DF,Cameroon,30-127,Al-Ta'ee,1992,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Connor Roberts,DF,Wales,27-086,Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.16,0.16,0,0.16
Craig Goodwin,MF,Australia,31-002,Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36
Cristian Romero,DF,Argentina,24-235,Tottenham,1998,7,6,547,6.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,Portugal,37-316,Manchester Utd,1985,5,3,290,3.2,1,0,0,1,1,0,0,0.31,0,0.31,0,0,1.6,0.8,0.1,1,0.51,0.04,0.55,0.26,0.3
Cyle Larin,FW,Canada,27-245,Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.16,0.34,0.49,0.16,0.49
César Azpilicueta,DF,Spain,33-112,Chelsea,1989,2,2,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0,0,0.7,0.7,0,0.45,0.45,0,0.45
César Montes,DF,Mexico,25-297,Monterrey,1997,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.2,0.2,0.5,0.7,0.06,0.17,0.23,0.06,0.23
Daichi Kamada,FW,Japan,26-135,Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.7,0.18,0.01,0.19,0.18,0.19
Daizen Maeda,FW,Japan,25-059,Celtic,1997,3,3,180,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.24,0,0.24,0.24,0.24
Daley Blind,DF,Netherlands,32-284,Ajax,1990,5,5,423,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.1,0.18,0.08,0.18
Damian Szymański,MF,Poland,27-185,AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Alves,DF,Brazil,39-226,UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14
Dani Carvajal,DF,Spain,30-341,Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Olmo,FW,Spain,24-225,RB Leipzig,1998,4,4,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.4,1.4,0.5,1.9,0.34,0.11,0.46,0.34,0.46
Daniel Amartey,DF,Ghana,27-362,Leicester City,1994,3,3,251,2.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.03,0.1,0.08,0.1
Daniel Chacón,MF,Costa Rica,21-251,CS Cartaginés,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel James,FW,Wales,25-038,Fulham,1997,3,2,154,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Daniel Kyereh,MF,Ghana,26-285,Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danilo,DF,Brazil,31-156,Juventus,1991,3,3,281,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Danilo Pereira,DF,Portugal,31-100,Paris S-G,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ward,GK,Wales,29-179,Leicester City,1993,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darko Lazović,DF,Serbia,32-094,Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Darwin Núñez,FW,Uruguay,23-177,Liverpool,1999,3,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.14,0.09,0.23,0.14,0.23
David Raum,DF,Germany,24-240,RB Leipzig,1998,3,3,242,2.7,0,1,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.6,0.6,0,0.22,0.22,0,0.22
David Wotherspoon,MF,Canada,32-336,St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy Klaassen,MF,Netherlands,29-300,Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25
Dayot Upamecano,DF,France,24-052,Bayern Munich,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
DeAndre Yedlin,DF,United States,29-162,Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declan Rice,MF,England,23-338,West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Dejan Lovren,DF,Croatia,33-166,Zenit,1989,6,6,600,6.7,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0,0.3,0.04,0.01,0.05,0.04,0.05
Denis Odoi,DF,Ghana,34-205,Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-028,Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Denzel Dumfries,DF,Netherlands,26-244,Inter,1996,5,5,479,5.3,1,2,1,0,0,2,1,0.19,0.38,0.56,0.19,0.56,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14
Devis Epassy,GK,Cameroon,29-319,Abha,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Godín,DF,Uruguay,36-305,Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Diogo Costa,GK,Portugal,23-090,Porto,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Diogo Dalot,DF,Portugal,23-275,Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0,0,0.7,0.8,0.01,0.25,0.26,0.01,0.26
Djibril Sow,MF,Switzerland,25-315,Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12
Djorkaeff Reasco,FW,Ecuador,23-334,Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,1995,7,7,690,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dries Mertens,MF,Belgium,35-226,Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.94,0.17,1.11,0.94,1.11
Dušan Tadić,MF,Serbia,34-028,Ajax,1988,3,3,257,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0.1,0.1,0.7,0.8,0.03,0.25,0.28,0.03,0.28
Dušan Vlahović,FW,Serbia,22-324,Juventus,2000,2,1,79,0.9,1,0,1,0,0,0,0,1.14,0,1.14,1.14,1.14,0.8,0.8,0,0.8,0.92,0,0.92,0.92,0.92
Dylan Bronn,DF,Tunisia,27-182,Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Eden Hazard,MF,Belgium,31-345,Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05
